year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile
2025,SIT,SIT - University of Glasgow,Bachelor of Engineering with Honours in Civil Engineering,84.2,75.0,4185,4125,4363,4200,4000,4400
2025,SIT,SIT - University of Glasgow,Bachelor of Engineering with Honours in Mechanical Engineering,87.5,75.0,4143,4183,4326,4200,3890,4675
2025,SIT,SIT - University of Glasgow,Bachelor of Science with Honours in Computing Science,80.2,65.3,5039,5000,5168,5000,4550,5700
2025,SIT,SIT - University of Glasgow,Bachelor of Science with Honours in Nursing,98.1,75.5,3896,3900,4198,4163,3900,4422
2025,SIT,SIT - Technical University of Munich,Bachelor of Engineering with Honours in Chemical Engineering,86.2,75.9,4259,4000,4468,4250,3967,4985
2025,SIT,SIT - Technical University of Munich,Bachelor of Engineering with Honours in Electronics and Data Engineering,90.0,77.5,4511,4400,4705,4700,4250,5100
2025,SUSS,School of Business,Bachelor of Accountancy,93.8,85.9,NA,4350,NA,4350,4300,4500
2025,SUSS,School of Business,Bachelor of Science in Business Analytics,83.3,69.7,NA,4600,NA,4800,4200,5439
2025,SUSS,School of Business,Bachelor of Science in Finance,89.2,64.9,NA,4325,NA,4400,4145,5134
2025,SUSS,School of Business,Bachelor of Science in Marketing,84.9,56.2,NA,3600,NA,3715,3500,4200
2025,SUSS,School of Business,Bachelor of Science in Supply Chain Management,82.4,63.2,NA,3800,NA,4000,3600,4325
2025,SUSS,School of Humanities and Behavioural Sciences,Bachelor of Public Safety and Security,91.8,69.4,NA,4215,NA,5000,4185,5800
2025,SUSS,School of Social Work and Social Development,Bachelor of Social Work,94.9,82.3,NA,3950,NA,3950,3850,4050
2025,SUSS,S R Nathan School of Human Development,Bachelor of Early Childhood Education,100.0,93.8,NA,3700,NA,3800,3500,3995
2025,SUSS,S R Nathan School of Human Development,Bachelor of Human Resource Management,90.1,72.8,NA,4000,NA,4000,3700,4300
